ccaa,year,renta_pc
Andalucia,2019,9.16
Andalucia,2020,9.99
Andalucia,2021,9.915
Andalucia,2022,10.703
Andalucia,2023,11.719
Andalucia,2024,12.191
Andalucia,2025,13.079
Aragon,2019,12.3
Aragon,2020,13.097
Aragon,2021,13.345
Aragon,2022,14.015
Aragon,2023,14.81
Aragon,2024,15.747
Aragon,2025,16.717
Asturias,2019,12.523
Asturias,2020,12.786
Asturias,2021,12.861
Asturias,2022,13.777
Asturias,2023,15.432
Asturias,2024,16.201
Asturias,2025,16.725
Canarias,2019,9.487
Canarias,2020,9.935
Canarias,2021,10.161
Canarias,2022,10.716
Canarias,2023,12.177
Canarias,2024,13.372
Canarias,2025,14.222
Cantabria,2019,12.205
Cantabria,2020,12.748
Cantabria,2021,12.848
Cantabria,2022,13.811
Cantabria,2023,14.162
Cantabria,2024,14.708
Cantabria,2025,15.964
Castilla - La Mancha,2019,9.715
Castilla - La Mancha,2020,10.485
Castilla - La Mancha,2021,10.257
Castilla - La Mancha,2022,11.037
Castilla - La Mancha,2023,11.913
Castilla - La Mancha,2024,12.357
Castilla - La Mancha,2025,13.387
Castilla y Leon,2019,12.003
Castilla y Leon,2020,12.697
Castilla y Leon,2021,12.656
Castilla y Leon,2022,13.323
Castilla y Leon,2023,14.124
Castilla y Leon,2024,14.94
Castilla y Leon,2025,15.598
Cataluña,2019,13.527
Cataluña,2020,14.17
Cataluña,2021,14.159
Cataluña,2022,14.692
Cataluña,2023,15.83
Cataluña,2024,16.546
Cataluña,2025,17.262
Ceuta,2019,10.164
Ceuta,2020,9.853
Ceuta,2021,10.397
Ceuta,2022,12.152
Ceuta,2023,13.421
Ceuta,2024,13.403
Ceuta,2025,13.77
Comunidad Valenciana,2019,10.611
Comunidad Valenciana,2020,11.332
Comunidad Valenciana,2021,11.237
Comunidad Valenciana,2022,11.876
Comunidad Valenciana,2023,12.805
Comunidad Valenciana,2024,13.374
Comunidad Valenciana,2025,14.017
Extremadura,2019,8.796
Extremadura,2020,9.147
Extremadura,2021,9.5
Extremadura,2022,10.133
Extremadura,2023,11.363
Extremadura,2024,12.421
Extremadura,2025,12.995
Galicia,2019,11.218
Galicia,2020,11.469
Galicia,2021,11.453
Galicia,2022,12.352
Galicia,2023,13.147
Galicia,2024,14.558
Galicia,2025,15.467
Islas Baleares,2019,12.41
Islas Baleares,2020,12.658
Islas Baleares,2021,11.235
Islas Baleares,2022,12.451
Islas Baleares,2023,14.139
Islas Baleares,2024,15.926
Islas Baleares,2025,16.735
La Rioja,2019,12.697
La Rioja,2020,13.504
La Rioja,2021,12.913
La Rioja,2022,13.538
La Rioja,2023,14.184
La Rioja,2024,14.529
La Rioja,2025,15.654
Madrid,2019,14.199
Madrid,2020,14.58
Madrid,2021,14.836
Madrid,2022,15.695
Madrid,2023,16.817
Madrid,2024,17.275
Madrid,2025,18.169
Melilla,2019,11.733
Melilla,2020,11.427
Melilla,2021,12.012
Melilla,2022,13.089
Melilla,2023,13.854
Melilla,2024,12.745
Melilla,2025,12.696
Murcia,2019,8.956
Murcia,2020,9.85
Murcia,2021,9.931
Murcia,2022,10.632
Murcia,2023,11.314
Murcia,2024,11.967
Murcia,2025,12.554
Navarra,2019,13.937
Navarra,2020,15.094
Navarra,2021,15.269
Navarra,2022,15.97
Navarra,2023,16.599
Navarra,2024,17.253
Navarra,2025,18.349
Pais Vasco,2019,15.3
Pais Vasco,2020,15.813
Pais Vasco,2021,15.544
Pais Vasco,2022,16.427
Pais Vasco,2023,18.189
Pais Vasco,2024,19.078
Pais Vasco,2025,19.923
